s1,s2,distance
26,27,226.03288223253548
8,47,227.25624814983945
14,23,219.32264787102093
5,8,214.0111336808417
10,8,359.08617882319123
13,45,222.35943979307953
37,12,401.40047301652163
13,42,251.89459252819344
7,27,296.29466709440345
15,28,378.6477795571268
5,47,230.98591632644124
34,40,370.031504180539
2,16,339.8846852218694
12,31,351.02000825183194
38,4,340.2402460161062
7,26,209.68893088607294
3,21,362.56537556731826
4,39,198.94859721988502
37,44,226.17624449493306
9,48,359.5876875505162
1,29,307.1442163811879
28,39,264.96256522947874
1,17,323.62032682800344
41,43,438.58183581193975
0,43,387.0393013719152
19,24,218.20403703013392
45,47,309.90897562866485
9,20,391.1426461335669
11,40,391.21322096437467
20,13,388.1697696258474
46,45,349.4272781222168
4,28,166.92778027928918
11,32,418.5067416817422
16,26,249.0605932401482
6,23,269.9121131617579
25,48,446.214235664364
