id,name,area,type,x,y,rel
0,郑远元专业修脚房(大沽路店),黄浦区,休闲娱乐,1236.7499769441783,1538.445652120747,0.0749080237694725
1,OPUS lounge,黄浦区,休闲娱乐,1991.3030502889303,2047.1550599117763,0.19014286128198324
2,自由港量贩式KTV(汇都店),黄浦区,休闲娱乐,2308.6643264126037,1620.2033975170923,0.146398788362281
3,好乐迪(淮海店),黄浦区,休闲娱乐,1220.7143257558346,1014.036178609822,0.11973169683940732
4,网鱼网咖(黄浦南京东路店),黄浦区,休闲娱乐,2165.957973010838,2825.1941454447806,0.031203728088487304
5,忍者猫桌游馆,黄浦区,休闲娱乐,959.041235430166,1524.1528126667254,0.031198904067240532
6,知若至尚(仙乐斯广场店),黄浦区,休闲娱乐,1044.851937012747,2218.6325465478003,0.011616722433639893
7,X-META BAR·日咖夜酒,黄浦区,休闲娱乐,1087.8269422147423,2098.2617102544755,0.17323522915498704
8,人民广场,黄浦区,休闲娱乐,1674.7395379226657,1886.065171611961,0.12022300234864176
9,上海人民广场-音乐喷泉,黄浦区,休闲娱乐,1628.647310912609,1960.829446632415,0.1416145155592091
10,翠湖天地,黄浦区,住宅区,1994.626656362787,439.5472307037562,0.10411689885916049
11,翠湖天地-御苑,黄浦区,住宅区,1922.3593004439024,467.72612383496016,0.2939819704323988
12,翠湖天地-嘉苑,黄浦区,住宅区,1768.3625014983118,421.3953457521274,0.26648852816008434
13,梅兰坊,黄浦区,住宅区,1807.389267610386,180.80778712872416,0.14246782213565523
14,翠湖四期,黄浦区,住宅区,2220.87773594819,364.1654058992863,0.1363649934414201
15,振华里小区,黄浦区,住宅区,1723.9577492885292,179.1535167377442,0.13668090197068677
16,恒昌里小区,黄浦区,住宅区,1976.9037744309755,42.63386512640864,0.16084844859190756
17,复兴中路239弄小区,黄浦区,住宅区,1979.289997357875,315.7225238978863,0.20495128632644755
18,合肥路117弄小区,黄浦区,住宅区,2054.6688357088715,95.10865708440542,0.18638900372842315
19,合肥路花园住宅,黄浦区,住宅区,1809.2064779829236,107.31609913380817,0.15824582803960838
20,南昌路272弄小区,黄浦区,住宅区,406.6977294962853,449.3122997409664,0.22237057894447587
21,香山公寓,黄浦区,住宅区,450.274222644046,390.6291522243992,0.12789877213040837
22,南昌路272弄-7号,黄浦区,住宅区,392.7288472279906,463.5939587624744,0.15842892970704364
23,瑞金二路69弄小区,黄浦区,住宅区,538.9228796456009,372.4865398737602,0.17327236865873835
24,南昌路212弄小区,黄浦区,住宅区,607.5560338329524,485.3802643953823,0.19121399684340717
