s1,s2,distance
2,60,257.7277371781508
32,55,247.98827793624784
19,49,328.4363722916789
2,7,483.45673299611406
53,64,365.74400818185563
5,47,259.2625277008507
45,58,234.58288230164192
22,69,417.09450950374696
14,39,279.946747634033
39,81,341.97954227027054
50,49,398.0249433947913
6,70,345.4144697293236
43,54,293.3548952321033
37,68,301.6288272435595
33,36,248.79317815369154
52,82,428.4970510934918
15,74,231.05639954076872
12,43,425.2340292294003
50,84,440.7974843096488
9,45,398.2239417089742
18,55,319.9332045175628
40,84,346.6221953020879
17,8,474.7026674357778
67,24,386.0752118621639
40,34,475.19127952672517
25,26,418.1983389258675
10,35,354.27609443907306
24,57,270.59776269908497
26,36,369.4484279909167
47,66,445.35137845991756
68,82,352.22122663380696
4,51,284.13457778027896
61,81,249.56470798925025
67,83,254.14455484826766
52,69,388.371427184056
76,26,423.2845844656253
42,38,369.11848827104194
45,70,304.1934761131973
14,42,372.42700130426573
65,83,415.82718200873626
15,53,298.0400243630886
22,63,312.27154691442195
38,81,292.4516864049206
82,63,398.74176329083053
56,74,393.19222097865935
0,10,442.6541468941623
11,31,448.7444558535072
12,65,444.29952657903874
16,78,341.82758361477687
66,20,420.3857800857973
30,61,298.78293257735055
3,41,320.28073247487964
19,28,374.5929844793316
34,37,406.71402724469965
3,69,422.31208810351694
63,69,220.61527571244815
60,31,459.5518520047179
13,78,316.86981771032436
77,42,378.828974454595
59,9,485.5193977843319
13,64,319.41698882369235
5,66,408.6654663337583
20,74,300.00055836096686
24,41,317.1786197128011
